2013.12.12,23:28,1.63538,1.63538,1.63530,1.63532,43
2013.12.12,23:29,1.63533,1.63534,1.63528,1.63529,31
2013.12.12,23:30,1.63529,1.63529,1.63524,1.63526,28
2013.12.12,23:31,1.63526,1.63526,1.63506,1.63507,41
2013.12.12,23:32,1.63511,1.63513,1.63505,1.63505,30
2013.12.12,23:33,1.63505,1.63510,1.63503,1.63508,35
2013.12.12,23:34,1.63510,1.63513,1.63496,1.63497,62
2013.12.12,23:35,1.63497,1.63507,1.63485,1.63486,85
2013.12.12,23:36,1.63486,1.63486,1.63483,1.63484,21
2013.12.12,23:37,1.63484,1.63492,1.63479,1.63479,58
2013.12.12,23:38,1.63478,1.63478,1.63454,1.63464,116
2013.12.12,23:39,1.63464,1.63477,1.63460,1.63465,54
2013.12.12,23:40,1.63465,1.63468,1.63464,1.63468,8
2013.12.12,23:41,1.63467,1.63468,1.63465,1.63465,18
2013.12.12,23:42,1.63465,1.63466,1.63456,1.63459,68
2013.12.12,23:43,1.63459,1.63467,1.63455,1.63463,56
2013.12.12,23:44,1.63466,1.63483,1.63466,1.63483,35
2013.12.12,23:45,1.63485,1.63509,1.63485,1.63493,33
2013.12.12,23:46,1.63496,1.63517,1.63496,1.63500,59
2013.12.12,23:47,1.63500,1.63501,1.63498,1.63499,46
2013.12.12,23:48,1.63499,1.63500,1.63494,1.63494,24
2013.12.12,23:49,1.63494,1.63499,1.63494,1.63499,74
2013.12.12,23:50,1.63499,1.63507,1.63497,1.63497,30
2013.12.12,23:51,1.63497,1.63510,1.63493,1.63493,43
2013.12.12,23:52,1.63490,1.63505,1.63478,1.63482,57
2013.12.12,23:53,1.63482,1.63484,1.63480,1.63483,16
2013.12.12,23:54,1.63483,1.63485,1.63482,1.63483,10
2013.12.12,23:55,1.63484,1.63487,1.63481,1.63487,14
2013.12.12,23:56,1.63488,1.63499,1.63485,1.63489,43
2013.12.12,23:57,1.63489,1.63489,1.63485,1.63485,3
2013.12.12,23:58,1.63485,1.63485,1.63475,1.63475,9
2013.12.12,23:59,1.63477,1.63477,1.63469,1.63469,12
2013.12.13,00:00,1.63469,1.63488,1.63455,1.63455,31
2013.12.13,00:01,1.63455,1.63457,1.63455,1.63457,6
2013.12.13,00:02,1.63470,1.63497,1.63470,1.63473,9
2013.12.13,00:03,1.63478,1.63485,1.63470,1.63470,22
2013.12.13,00:04,1.63470,1.63470,1.63470,1.63470,1
2013.12.13,00:05,1.63459,1.63459,1.63459,1.63459,1
2013.12.13,00:06,1.63459,1.63479,1.63459,1.63479,4
2013.12.13,00:07,1.63479,1.63479,1.63479,1.63479,1
2013.12.13,00:09,1.63479,1.63495,1.63479,1.63479,7
2013.12.13,00:10,1.63479,1.63479,1.63479,1.63479,3
2013.12.13,00:11,1.63479,1.63491,1.63479,1.63489,8
2013.12.13,00:12,1.63489,1.63489,1.63489,1.63489,3
2013.12.13,00:13,1.63489,1.63489,1.63489,1.63489,6
2013.12.13,00:14,1.63489,1.63489,1.63489,1.63489,2
2013.12.13,00:17,1.63489,1.63489,1.63489,1.63489,2
2013.12.13,00:18,1.63489,1.63489,1.63489,1.63489,1
2013.12.13,00:19,1.63489,1.63489,1.63484,1.63484,3
2013.12.13,00:20,1.63485,1.63502,1.63485,1.63492,14
2013.12.13,00:21,1.63491,1.63503,1.63486,1.63487,9
2013.12.13,00:22,1.63488,1.63488,1.63488,1.63488,1
2013.12.13,00:23,1.63488,1.63491,1.63479,1.63481,19
2013.12.13,00:24,1.63476,1.63477,1.63469,1.63469,25
2013.12.13,00:25,1.63487,1.63487,1.63469,1.63470,8
2013.12.13,00:26,1.63471,1.63471,1.63471,1.63471,1
2013.12.13,00:27,1.63469,1.63481,1.63464,1.63478,25
2013.12.13,00:28,1.63478,1.63478,1.63457,1.63464,38
2013.12.13,00:29,1.63464,1.63477,1.63464,1.63468,30
2013.12.13,00:30,1.63473,1.63477,1.63468,1.63476,21
2013.12.13,00:31,1.63478,1.63478,1.63433,1.63435,17
2013.12.13,00:32,1.63437,1.63453,1.63437,1.63449,11
2013.12.13,00:33,1.63455,1.63455,1.63449,1.63450,4
2013.12.13,00:34,1.63449,1.63461,1.63445,1.63447,21
2013.12.13,00:35,1.63449,1.63455,1.63447,1.63455,29
2013.12.13,00:38,1.63455,1.63455,1.63454,1.63454,4
2013.12.13,00:39,1.63454,1.63455,1.63435,1.63443,44
2013.12.13,00:40,1.63447,1.63451,1.63434,1.63435,41
2013.12.13,00:41,1.63434,1.63434,1.63434,1.63434,1
2013.12.13,00:42,1.63436,1.63445,1.63436,1.63436,9
2013.12.13,00:43,1.63436,1.63436,1.63436,1.63436,2
2013.12.13,00:44,1.63435,1.63435,1.63435,1.63435,1
2013.12.13,00:45,1.63435,1.63435,1.63416,1.63417,45
2013.12.13,00:46,1.63417,1.63439,1.63417,1.63423,29
2013.12.13,00:47,1.63423,1.63430,1.63418,1.63423,29
2013.12.13,00:48,1.63423,1.63427,1.63418,1.63418,21
2013.12.13,00:49,1.63418,1.63424,1.63418,1.63424,3
2013.12.13,00:50,1.63424,1.63424,1.63419,1.63422,4
2013.12.13,00:51,1.63422,1.63434,1.63422,1.63434,13
2013.12.13,00:52,1.63429,1.63429,1.63412,1.63414,20
2013.12.13,00:53,1.63413,1.63419,1.63413,1.63415,9
2013.12.13,00:54,1.63415,1.63436,1.63415,1.63426,33
2013.12.13,00:55,1.63436,1.63436,1.63426,1.63430,11
2013.12.13,00:56,1.63425,1.63425,1.63413,1.63414,16
